ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
234,Kakao 79%,Manga,Sem informações,May 2015 -,https://myanimelist.net/manga/110882/Kakao_79,https://cdn.myanimelist.net/r/100x140/images/manga/3/207049.jpgSem informaçõess=0a2f66be9281f311b1c3ede30ae1c982
235,Arcana,Manga,2,2000 - 2001,https://myanimelist.net/manga/1508/Arcana,https://cdn.myanimelist.net/r/100x140/images/manga/3/65647.jpgSem informaçõess=3fd6f90d5d84d5e3a966de7b51a1e22d
236,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,Manga,Sem informações,Jul 2022 -,https://myanimelist.net/manga/149804/Class_de_2-banme_ni_Kawaii_Onnanoko_to_Tomodachi_ni_Natta,https://cdn.myanimelist.net/r/100x140/images/manga/3/277676.jpgSem informaçõess=7585c47cfea4311e5559d78fd999f883
237,Reforming the Obsessive Male Lead,Manhwa,Sem informações,Jul 2022 -,https://myanimelist.net/manga/151300/Reforming_the_Obsessive_Male_Lead,https://cdn.myanimelist.net/r/100x140/images/manga/3/268103.jpgSem informaçõess=cfd39e015400375a0f608d76f5e5fb8f
238,Genei Realism,One-shot,Sem informações,Sep 2011 - Sep 2011,https://myanimelist.net/manga/44625/Genei_Realism,https://cdn.myanimelist.net/r/100x140/images/manga/1/79161.jpgSem informaçõess=1b4f685c44e2fba428d28d6e15ae1f88
239,"Kuzu Inou ""Thermo Operator"" no Ore ga Musou suru made",Manga,2,Feb 2019 - Feb 2020,https://myanimelist.net/manga/121978/Kuzu_Inou_Thermo_Operator_no_Ore_ga_Musou_suru_made,https://cdn.myanimelist.net/r/100x140/images/manga/1/226946.jpgSem informaçõess=32dfffbe51be60bedcc5cea8cc0104d8
240,Chikyuu Kanrinin,Manga,3,2001 - 2001,https://myanimelist.net/manga/7599/Chikyuu_Kanrinin,https://cdn.myanimelist.net/r/100x140/images/manga/1/271377.jpgSem informaçõess=eda1c8133322fee796c56f863fa90c93
241,Toki no Shoushitsu Ukeoinin,Manga,2,Jan 2010 - Oct 2010,https://myanimelist.net/manga/18382/Toki_no_Shoushitsu_Ukeoinin,https://cdn.myanimelist.net/r/100x140/images/manga/1/156381.jpgSem informaçõess=a9eb073076f70d31499d4f466c62b9b3
242,Darenimo Himitsu no Koimonogatari,Manga,1,Sep 2004 - Sep 2004,https://myanimelist.net/manga/7790/Darenimo_Himitsu_no_Koimonogatari,https://cdn.myanimelist.net/r/100x140/images/manga/1/10619.jpgSem informaçõess=96b035ad628b1524066338a912bcee10
243,Amanin Shoujo Azuki,Manga,1,Jan 2007 - Dec 2007,https://myanimelist.net/manga/13175/Amanin_Shoujo_Azuki,https://cdn.myanimelist.net/r/100x140/images/manga/1/18389.jpgSem informaçõess=a50b4739ce1fa9be00a2059f595491f7
244,Kami no Caveira,One-shot,Sem informações,Sep 2020 - Sep 2020,https://myanimelist.net/manga/130450/Kami_no_Caveira,https://cdn.myanimelist.net/r/100x140/images/manga/3/244256.jpgSem informaçõess=38c0fe8870d0460cbc54066ae4758f41
245,"Level 0 no Maou-sama, Isekai de Boukensha wo Hajimemasu",Manga,Sem informações,Sep 2020 -,https://myanimelist.net/manga/131015/Level_0_no_Maou-sama_Isekai_de_Boukensha_wo_Hajimemasu,https://cdn.myanimelist.net/r/100x140/images/manga/1/240568.jpgSem informaçõess=e4a294ab045d9e3f092927f6c8991887
246,Shakugan no Shana,Light-Novel,22,Nov 2002 - Oct 2011,https://myanimelist.net/manga/3074/Shakugan_no_Shana,https://cdn.myanimelist.net/r/100x140/images/manga/3/133565.jpgSem informaçõess=e06d2291686804c48fcec57e7947f793
247,Douka Ore wo Hanatteoite Kure: Nazeka Bocchi no Owatta Koukou Seikatsu wo Kanojo ga Kaeyou to Shitekuru,Manga,Sem informações,Jun 2022 -,https://myanimelist.net/manga/151183/Douka_Ore_wo_Hanatteoite_Kure__Nazeka_Bocchi_no_Owatta_Koukou_Seikatsu_wo_Kanojo_ga_Kaeyou_to_Shitekuru,https://cdn.myanimelist.net/r/100x140/images/manga/2/271303.jpgSem informaçõess=e297f0b1d58ff1d4bfec1f3f9c8a5082
248,Kamonohashi Ron no Kindan Suiri,Manga,Sem informações,Oct 2020 -,https://myanimelist.net/manga/130392/Kamonohashi_Ron_no_Kindan_Suiri,https://cdn.myanimelist.net/r/100x140/images/manga/2/240565.jpgSem informaçõess=b574261e675902073e80f9473d3d83dc
249,Gekka Kajin Lumen Lunae,Manga,5,Apr 1996 - Mar 2002,https://myanimelist.net/manga/1726/Gekka_Kajin_Lumen_Lunae,https://cdn.myanimelist.net/r/100x140/images/manga/2/1836.jpgSem informaçõess=93f8726ae0a06c79ba0d9a0551117802
250,Playground love,Manga,1,-,https://myanimelist.net/manga/5778/Playground_love,https://cdn.myanimelist.net/r/100x140/images/manga/2/7397.jpgSem informaçõess=123e42f78f1e960bbb27a742b2335ef2
251,Kanon,Manga,6,1995 - 1997,https://myanimelist.net/manga/5964/Kanon,https://cdn.myanimelist.net/r/100x140/images/manga/1/250797.jpgSem informaçõess=78f6b7e7d98e22c2ee073b6ef68dff0e
252,Ergo Proxy: Centzon Hitchers and Undertaker,Manga,2,Aug 2006 - Feb 2007,https://myanimelist.net/manga/10954/Ergo_Proxy__Centzon_Hitchers_and_Undertaker,https://cdn.myanimelist.net/r/100x140/images/manga/4/33309.jpgSem informaçõess=e1fd8572de2c67f625259aece214ec28
253,Christmas ni Kagayaku,One-shot,Sem informações,Nov 2009 - Nov 2009,https://myanimelist.net/manga/20275/Christmas_ni_Kagayaku,https://cdn.myanimelist.net/r/100x140/images/manga/3/31964.jpgSem informaçõess=1ae074fffd96ea501fb02ba2b7283f66
254,Eden no Ori,Manga,21,Nov 2008 - Jan 2013,https://myanimelist.net/manga/12586/Eden_no_Ori,https://cdn.myanimelist.net/r/100x140/images/manga/3/56963.jpgSem informaçõess=3701dc229146e0e2843ee7545e8206fd
255,Yuuutsu-kun to Succubus-san,Manga,Sem informações,Sep 2015 -,https://myanimelist.net/manga/107199/Yuuutsu-kun_to_Succubus-san,https://cdn.myanimelist.net/r/100x140/images/manga/3/196155.jpgSem informaçõess=5acd17c67c93e488f9e8bab1dcb49fac
256,SK∞: Chill Out!,Manga,1,Jan 2021 - Sep 2021,https://myanimelist.net/manga/133274/SK∞__Chill_Out,https://cdn.myanimelist.net/r/100x140/images/manga/3/252717.jpgSem informaçõess=be129ce5f78943392c29074dd6e65b39
257,Amagami-san Chi no Enmusubi,Manga,Sem informações,Apr 2021 -,https://myanimelist.net/manga/134028/Amagami-san_Chi_no_Enmusubi,https://cdn.myanimelist.net/r/100x140/images/manga/2/247864.jpgSem informaçõess=02ed557d1f07c5cfff09f3c90ab1da98
258,Asahinagu,Manga,34,Jan 2011 - Sep 2020,https://myanimelist.net/manga/35741/Asahinagu,https://cdn.myanimelist.net/r/100x140/images/manga/1/149866.jpgSem informaçõess=84755d7ef52b84655e806eff5cbcd0da
259,Look at Me,One-shot,Sem informações,Jan 2014 - Jan 2014,https://myanimelist.net/manga/73929/Look_at_Me,https://cdn.myanimelist.net/r/100x140/images/manga/2/128235.jpgSem informaçõess=9c54ad0f3badfe8240f9b8f447f1d775
260,Street Fighter II: Ryu,Manga,3,1993 - 1994,https://myanimelist.net/manga/5706/Street_Fighter_II__Ryu,https://cdn.myanimelist.net/r/100x140/images/manga/1/268456.jpgSem informaçõess=e146e88561d6898687394a1acea00cca
261,Given,Manga,9,Apr 2013 - Mar 2023,https://myanimelist.net/manga/79085/Given,https://cdn.myanimelist.net/r/100x140/images/manga/1/172497.jpgSem informaçõess=0b915a53f1c68ecd94215565d49332a6
262,Saihate no Polaris,Manga,Sem informações,Feb 2019 - Aug 2019,https://myanimelist.net/manga/139964/Saihate_no_Polaris,https://cdn.myanimelist.net/r/100x140/images/manga/3/249745.jpgSem informaçõess=1640ebed9f9fa9e4a16595bf3b1215fd
263,Roman Album: Taishou Dennou Dadaism Emaki - Despera,Light-Novel,1,Jun 2009 - Jun 2010,https://myanimelist.net/manga/67031/Roman_Album__Taishou_Dennou_Dadaism_Emaki_-_Despera,https://cdn.myanimelist.net/r/100x140/images/manga/1/114873.jpgSem informaçõess=3b893c33f50b390474e1020664d535d0
264,Yaiteru Futari,Manga,Sem informações,Sep 2020 -,https://myanimelist.net/manga/130633/Yaiteru_Futari,https://cdn.myanimelist.net/r/100x140/images/manga/3/238790.jpgSem informaçõess=20fcc3407912f9f1295d29f2a85efcbd
265,Questism,Manhwa,Sem informações,Oct 2021 -,https://myanimelist.net/manga/148666/Questism,https://cdn.myanimelist.net/r/100x140/images/manga/3/263787.jpgSem informaçõess=005e52623b31487d543efe66a2e58e7e
266,Yappari♥Idol,One-shot,Sem informações,Sep 2007 - Sep 2007,https://myanimelist.net/manga/9369/Yappari♥Idol,https://cdn.myanimelist.net/r/100x140/images/manga/1/12745.jpgSem informaçõess=24fbca5613ce57bc16ff928c44fd5bbe
267,Cho-co-la-te.,Doujinshi,1,Feb 2011 - Feb 2011,https://myanimelist.net/manga/43885/Cho-co-la-te,https://cdn.myanimelist.net/r/100x140/images/manga/1/77403.jpgSem informaçõess=d427c818fbcda4a2ebfa15d0263c3411
268,High School DxD EX,Light-Novel,Sem informações,Jul 2015 - Jan 2016,https://myanimelist.net/manga/100790/High_School_DxD_EX,https://cdn.myanimelist.net/r/100x140/images/manga/2/196965.jpgSem informaçõess=5ee6adfbdf3201237004ae083ac44260
269,Negaigoto 300000 km/s,One-shot,Sem informações,Jul 2009 - Jul 2009,https://myanimelist.net/manga/15136/Negaigoto_300000_km_s,https://cdn.myanimelist.net/r/100x140/images/manga/1/21988.jpgSem informaçõess=ac438ba59d3ae352a35840e42cbe8b2d
270,Dear Diary,Manhwa,4,2006 - 2007,https://myanimelist.net/manga/20368/Dear_Diary,https://cdn.myanimelist.net/r/100x140/images/manga/1/32177.jpgSem informaçõess=ce54e5a3fe31dcd1301f052e1a6c3658
271,Coy - Crush On You,Manhwa,5,2003 -,https://myanimelist.net/manga/4583/Coy_-_Crush_On_You,https://cdn.myanimelist.net/r/100x140/images/manga/1/82962.jpgSem informaçõess=ba24c9a4a97630bb3798bfd4d4925aa8
272,Akkun to Kanojo,Manga,8,Jun 2013 - Jun 2018,https://myanimelist.net/manga/68675/Akkun_to_Kanojo,https://cdn.myanimelist.net/r/100x140/images/manga/3/117389.jpgSem informaçõess=4f67cb2f141c5749cb85b8b8f68bc9d7
273,Maji LoveSem informações,One-shot,Sem informações,-,https://myanimelist.net/manga/5915/Maji_Love,https://cdn.myanimelist.net/r/100x140/images/manga/5/22622.jpgSem informaçõess=429a0ecaf3b9e62f903fd9846ed3916f
274,Feng Ni Tianxia,Manhua,Sem informações,Mar 2015 -,https://myanimelist.net/manga/121774/Feng_Ni_Tianxia,https://cdn.myanimelist.net/r/100x140/images/manga/1/228825.jpgSem informaçõess=335a3f65cb9306c65bc3c6be5badf798
275,Tsukiyo no Kokuhaku,Manga,1,Apr 2008 - Apr 2008,https://myanimelist.net/manga/29837/Tsukiyo_no_Kokuhaku,https://cdn.myanimelist.net/r/100x140/images/manga/3/50173.jpgSem informaçõess=3f56fb9ad758aa6b6b7d2ba16e2a78b9
276,Kage ni Saku Hana,Manga,1,Dec 2009 - Sep 2010,https://myanimelist.net/manga/41127/Kage_ni_Saku_Hana,https://cdn.myanimelist.net/r/100x140/images/manga/3/253240.jpgSem informaçõess=99140bcdd6cc98716de3141078225d5a
277,Vampire Knight: Memories,Manga,Sem informações,Nov 2013 -,https://myanimelist.net/manga/59505/Vampire_Knight__Memories,https://cdn.myanimelist.net/r/100x140/images/manga/2/178535.jpgSem informaçõess=208cc76d9554b2a012d43db1afef6670
278,Sword Art Online: Fairy Dance,Manga,3,Apr 2012 - Apr 2014,https://myanimelist.net/manga/44733/Sword_Art_Online__Fairy_Dance,https://cdn.myanimelist.net/r/100x140/images/manga/1/137905.jpgSem informaçõess=aae1d7f3346624058c4738e9a8250dcd
279,Jishou F-Rank no Oniisama ga Game de Hyouka sareru Gakuen no Chouten ni Kunrin suru Sou desu yoSem informações,Manga,Sem informações,Mar 2018 -,https://myanimelist.net/manga/113548/Jishou_F-Rank_no_Oniisama_ga_Game_de_Hyouka_sareru_Gakuen_no_Chouten_ni_Kunrin_suru_Sou_desu_yo,https://cdn.myanimelist.net/r/100x140/images/manga/3/215073.jpgSem informaçõess=906ced405ac90b7dbd7ecb0a02d88699
280,Id:Invaded: #Brake-Broken,Manga,3,Oct 2019 - Nov 2020,https://myanimelist.net/manga/125359/Id_Invaded__Brake-Broken,https://cdn.myanimelist.net/r/100x140/images/manga/3/228439.jpgSem informaçõess=3147e0477b281eab666082a3ce302055
281,Neon Genesis Evangelion: Campus Apocalypse,Manga,4,Aug 2007 - Aug 2009,https://myanimelist.net/manga/5178/Neon_Genesis_Evangelion__Campus_Apocalypse,https://cdn.myanimelist.net/r/100x140/images/manga/4/30773.jpgSem informaçõess=fe974093b803603f8e7851373cecbbf5
282,Ai ga Areba Ii no da,Manga,2,1992 -,https://myanimelist.net/manga/21055/Ai_ga_Areba_Ii_no_da,https://cdn.myanimelist.net/r/100x140/images/manga/3/33780.jpgSem informaçõess=c125e2f21e69563ca572b3f7109dca01
283,Stalkers,Manga,3,Mar 2018 - Apr 2020,https://myanimelist.net/manga/113825/Stalkers,https://cdn.myanimelist.net/r/100x140/images/manga/3/233883.jpgSem informaçõess=ba90d7aba92457f5ed99e4cc69a23c85
284,Higurashi no Naku Koro ni Kizuna,Manga,2,Sep 2010 - Sep 2011,https://myanimelist.net/manga/96354/Higurashi_no_Naku_Koro_ni_Kizuna,https://cdn.myanimelist.net/r/100x140/images/manga/3/260820.jpgSem informaçõess=b5ef56bce4ddb8e1dea1408ec78dd35e
285,Ijiwaru Shinaide,Manga,2,-,https://myanimelist.net/manga/5266/Ijiwaru_Shinaide,https://cdn.myanimelist.net/r/100x140/images/manga/1/38400.jpgSem informaçõess=4acc205581560fa5ae07aee671b8a0cd
286,Kamigoroshi no Eiyuu to Ermenhilde,Light-Novel,7,Aug 2015 - Apr 2017,https://myanimelist.net/manga/92717/Kamigoroshi_no_Eiyuu_to_Ermenhilde,https://cdn.myanimelist.net/r/100x140/images/manga/1/163818.jpgSem informaçõess=8d4f176b880b3648d349ce2027b40841
287,Samurai Papa,Manga,1,Oct 2010 - Feb 2012,https://myanimelist.net/manga/59229/Samurai_Papa,https://cdn.myanimelist.net/r/100x140/images/manga/3/128507.jpgSem informaçõess=a6d5c2e48172dca30b2495547c489be9
288,Tou no Kemono,Manga,1,Apr 2003 - Apr 2004,https://myanimelist.net/manga/2473/Tou_no_Kemono,https://cdn.myanimelist.net/r/100x140/images/manga/3/157963.jpgSem informaçõess=cff07ce4df65adcc5a1df88e7dcf8334
289,Sendai Yuusha wa Inkyo Shitai,Light-Novel,Sem informações,Oct 2013 -,https://myanimelist.net/manga/72067/Sendai_Yuusha_wa_Inkyo_Shitai,https://cdn.myanimelist.net/r/100x140/images/manga/1/177566.jpgSem informaçõess=c8115b8941d961c1dfaa476e2471c7b6
290,Yuan Zun,Manhua,Sem informações,Dec 2017 -,https://myanimelist.net/manga/119255/Yuan_Zun,https://cdn.myanimelist.net/r/100x140/images/manga/1/230511.jpgSem informaçõess=9308d6927facd8bdef5dbb6d0bf874b1
291,Kimi sae mo Ai no Kusari,Manga,2,Oct 2003 - May 2004,https://myanimelist.net/manga/2941/Kimi_sae_mo_Ai_no_Kusari,https://cdn.myanimelist.net/r/100x140/images/manga/3/3168.jpgSem informaçõess=e281a922c3b1c1e308a564cad2331434
292,Cherry Love,Manga,1,2006 - 2006,https://myanimelist.net/manga/5075/Cherry_Love,https://cdn.myanimelist.net/r/100x140/images/manga/1/10006.jpgSem informaçõess=84a2c67de2e2267503009fdf3f4336f0
293,Mahou Shounen Majorian,Manga,3,Dec 2005 - Jun 2008,https://myanimelist.net/manga/11880/Mahou_Shounen_Majorian,https://cdn.myanimelist.net/r/100x140/images/manga/3/184782.jpgSem informaçõess=ebe3f7c586d11167eea5a426d7db8caa
294,Ryouko no Shinrei Jikenbo,Manga,4,1988 - 1991,https://myanimelist.net/manga/4560/Ryouko_no_Shinrei_Jikenbo,https://cdn.myanimelist.net/r/100x140/images/manga/3/5587.jpgSem informaçõess=9b42538f801ad92cae003a90031c60b0
295,Josou Shounen Anthology Comic,Manga,17,Jul 2010 - Aug 2014,https://myanimelist.net/manga/29949/Josou_Shounen_Anthology_Comic,https://cdn.myanimelist.net/r/100x140/images/manga/3/111219.jpgSem informaçõess=4c13851e382c17c96f8dc053b81b00ec
296,Desuraba,Manga,8,Feb 2018 - Apr 2020,https://myanimelist.net/manga/114660/Desuraba,https://cdn.myanimelist.net/r/100x140/images/manga/2/215918.jpgSem informaçõess=68939cfc0bc6b83400ba07ca46aa9ac7
297,Sayonara Peter Pan,Manga,3,Apr 2017 - Oct 2018,https://myanimelist.net/manga/106203/Sayonara_Peter_Pan,https://cdn.myanimelist.net/r/100x140/images/manga/2/204421.jpgSem informaçõess=c81088c029a5077ca5b57d3e6ce0ac03
298,Kakumeika no Gogo,Manga,1,2007 - 2007,https://myanimelist.net/manga/3071/Kakumeika_no_Gogo,https://cdn.myanimelist.net/r/100x140/images/manga/5/26437.jpgSem informaçõess=a6d7727a679cb54b089e7f5d50e8f65a
299,Maougun Saikyou no Majutsushi wa Ningen datta,Manga,Sem informações,Aug 2019 -,https://myanimelist.net/manga/121357/Maougun_Saikyou_no_Majutsushi_wa_Ningen_datta,https://cdn.myanimelist.net/r/100x140/images/manga/1/226099.jpgSem informaçõess=14c99152a02476ad81a8d19fe99085c5
300,Nobunaga-sensei no Osanazuma,Manga,5,May 2017 - Aug 2019,https://myanimelist.net/manga/106784/Nobunaga-sensei_no_Osanazuma,https://cdn.myanimelist.net/r/100x140/images/manga/1/203234.jpgSem informaçõess=dae7a2806659e0f84b8bd779e7565fcc
301,Yakusoku no Neverland: Tokubetsu Bangai-hen - Haha no Ketsui,One-shot,Sem informações,Dec 2020 - Dec 2020,https://myanimelist.net/manga/131969/Yakusoku_no_Neverland__Tokubetsu_Bangai-hen_-_Haha_no_Ketsui,https://cdn.myanimelist.net/r/100x140/images/manga/1/238453.jpgSem informaçõess=b4a4880a384efa662c8231e717564817
302,Aventura,Manga,6,May 2005 - Aug 2015,https://myanimelist.net/manga/220/Aventura,https://cdn.myanimelist.net/r/100x140/images/manga/3/5261.jpgSem informaçõess=8fae992c019f3a9007d1b9c4a45423d6
303,Psycho-Pass,Light-Novel,2,Feb 2013 - Apr 2013,https://myanimelist.net/manga/69371/Psycho-Pass,https://cdn.myanimelist.net/r/100x140/images/manga/3/118865.jpgSem informaçõess=aee1697af39d6b4f133929022c38865e
304,Meitantei Marnie,Manga,11,Aug 2012 - Aug 2014,https://myanimelist.net/manga/70637/Meitantei_Marnie,https://cdn.myanimelist.net/r/100x140/images/manga/1/121299.jpgSem informaçõess=6d20a9b82a69d28a958508bcc1295537
305,Sono Yubi dake ga Shitteiru,Light-Novel,5,Jul 2001 - Sep 2008,https://myanimelist.net/manga/5220/Sono_Yubi_dake_ga_Shitteiru,https://cdn.myanimelist.net/r/100x140/images/manga/1/20114.jpgSem informaçõess=690a99a3132375659168f182bd5f3def
306,Ghost Writer,Manga,3,Jun 2015 - Sep 2016,https://myanimelist.net/manga/91140/Ghost_Writer,https://cdn.myanimelist.net/r/100x140/images/manga/3/167050.jpgSem informaçõess=8a015bdd4e119bc47c7c4a2f97bfa414
307,Kick no Oneesan,Manga,3,Dec 2010 - Sep 2011,https://myanimelist.net/manga/27053/Kick_no_Oneesan,https://cdn.myanimelist.net/r/100x140/images/manga/2/191609.jpgSem informaçõess=b170c50de5cdbf2bba9ace7357abf2e5
308,Li Ren Man,Manhua,3,2004 - 2005,https://myanimelist.net/manga/42311/Li_Ren_Man,https://cdn.myanimelist.net/r/100x140/images/manga/3/283562.jpgSem informaçõess=15afe06976bdb132eddadec5672bb8c8
309,Akai Michi,One-shot,Sem informações,2009 - 2009,https://myanimelist.net/manga/20215/Akai_Michi,https://cdn.myanimelist.net/r/100x140/images/manga/1/31778.jpgSem informaçõess=88591584bda24481b58596c8434f50dd
310,Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,Manga,10,Jun 2018 - Jun 2023,https://myanimelist.net/manga/115186/Kao_ni_Denai_Kashiwada-san_to_Kao_ni_Deru_Oota-kun,https://cdn.myanimelist.net/r/100x140/images/manga/1/221271.jpgSem informaçõess=1189232c24a98f633388a8a15a6fda05
311,Dainippon Tengutou Ekotoba,Manga,4,Oct 1994 - Jan 1997,https://myanimelist.net/manga/4817/Dainippon_Tengutou_Ekotoba,https://cdn.myanimelist.net/r/100x140/images/manga/2/19142.jpgSem informaçõess=eaf56b7c19204d9b1bdab7f3eda2530d
312,Fukigen na Aibu,Manga,1,2001 - 2001,https://myanimelist.net/manga/9428/Fukigen_na_Aibu,https://cdn.myanimelist.net/r/100x140/images/manga/1/282476.jpgSem informaçõess=e89ef5d2a9fa0a0d38d4cc0ff6b228ca
313,Free Life: Isekai Nandemoya Funtouki,Manga,5,Nov 2017 - Aug 2020,https://myanimelist.net/manga/111144/Free_Life__Isekai_Nandemoya_Funtouki,https://cdn.myanimelist.net/r/100x140/images/manga/1/209380.jpgSem informaçõess=17e576ab86e0a3543bdd117cbdcfc181
314,Boku no Chikyuu wo Mamotte,Manga,21,1987 - 1994,https://myanimelist.net/manga/655/Boku_no_Chikyuu_wo_Mamotte,https://cdn.myanimelist.net/r/100x140/images/manga/2/264117.jpgSem informaçõess=c45c807c75fce1ae38b0e7bf320a59b2
315,Memai,Manga,1,1997 -,https://myanimelist.net/manga/8356/Memai,https://cdn.myanimelist.net/r/100x140/images/manga/1/11410.jpgSem informaçõess=1aa4b9a836ea68c711e223b6566ea96e
316,"Kimi wa Maru de, Ano Hana no You de.",Manga,1,-2012,https://myanimelist.net/manga/40537/Kimi_wa_Maru_de_Ano_Hana_no_You_de,https://cdn.myanimelist.net/r/100x140/images/manga/3/71423.jpgSem informaçõess=b3ecc1a7f10006477a4371cb10d12a2a
317,Ohitorisama Monogatari,Manga,10,Nov 2006 - Jun 2022,https://myanimelist.net/manga/13486/Ohitorisama_Monogatari,https://cdn.myanimelist.net/r/100x140/images/manga/3/18949.jpgSem informaçõess=3b9dafdd5af41e92da5029eee3dd7795
318,The Villainess Tames the Beast,Manhwa,Sem informações,Jun 2022 -,https://myanimelist.net/manga/148742/The_Villainess_Tames_the_Beast,https://cdn.myanimelist.net/r/100x140/images/manga/3/265613.jpgSem informaçõess=88af7163eafc809481bfc0b698753f12
319,Ensemble Stars!,Manga,4,Aug 2015 - Dec 2016,https://myanimelist.net/manga/95757/Ensemble_Stars,https://cdn.myanimelist.net/r/100x140/images/manga/3/185370.jpgSem informaçõess=b9edf20516a8ddaafab8ea179e584cf3
320,Kamuko,One-shot,Sem informações,Jun 2003 - Jun 2003,https://myanimelist.net/manga/8545/Kamuko,https://cdn.myanimelist.net/r/100x140/images/manga/2/11691.jpgSem informaçõess=8a98c156289e019be7ae6e0e7f3c6b0e
321,Nidome no Yuusha wa Fukushuu no Michi wo Warai Ayumu,Light-Novel,Sem informações,May 2016 -,https://myanimelist.net/manga/111777/Nidome_no_Yuusha_wa_Fukushuu_no_Michi_wo_Warai_Ayumu,https://cdn.myanimelist.net/r/100x140/images/manga/3/210480.jpgSem informaçõess=9a20eea28e8da81161b6812ecddc6ca7
322,It's Not Your Baby!,Manhwa,Sem informações,May 2022 -,https://myanimelist.net/manga/148708/Its_Not_Your_Baby,https://cdn.myanimelist.net/r/100x140/images/manga/1/264840.jpgSem informaçõess=26198c6ce999300d30b5c6cf6e809f4e
323,Honey Lemon Soda,Manga,Sem informações,Dec 2015 -,https://myanimelist.net/manga/96145/Honey_Lemon_Soda,https://cdn.myanimelist.net/r/100x140/images/manga/1/179110.jpgSem informaçõess=f1902f9560cb03bbb34d791c41f16373
324,Fool Night,Manga,Sem informações,Nov 2020 -,https://myanimelist.net/manga/135264/Fool_Night,https://cdn.myanimelist.net/r/100x140/images/manga/2/242975.jpgSem informaçõess=a1454f04af0446018a0588a58af90af7
325,Honoo no Mirage,Manga,4,Aug 1994 - Apr 1997,https://myanimelist.net/manga/2714/Honoo_no_Mirage,https://cdn.myanimelist.net/r/100x140/images/manga/1/31810.jpgSem informaçõess=258bf189429e981f17be82611f19c114
326,Itsuka Tenma no Kuro Usagi,Light-Novel,13,Nov 2008 - Dec 2013,https://myanimelist.net/manga/25210/Itsuka_Tenma_no_Kuro_Usagi,https://cdn.myanimelist.net/r/100x140/images/manga/2/81153.jpgSem informaçõess=9a25f6fc0c9fcc6318b47c6ab81aaf78
327,Shuukatsu Shippai shita Succubus-san wo Hiroimashita,Manga,Sem informações,Feb 2021 -,https://myanimelist.net/manga/135205/Shuukatsu_Shippai_shita_Succubus-san_wo_Hiroimashita,https://cdn.myanimelist.net/r/100x140/images/manga/1/242866.jpgSem informaçõess=72fad24606e764b2472ea925aab89d51
328,Oniichan Lab.,Manga,1,Aug 2007 - Aug 2007,https://myanimelist.net/manga/8226/Oniichan_Lab,https://cdn.myanimelist.net/r/100x140/images/manga/2/272955.jpgSem informaçõess=4a8d8cf1c8e675002b14e70bdfdadb23
329,Chihayafuru,Manga,50,Dec 2007 - Aug 2022,https://myanimelist.net/manga/13245/Chihayafuru,https://cdn.myanimelist.net/r/100x140/images/manga/1/245072.jpgSem informaçõess=a84ce28cae507f0a348a9ec13c155f21
330,Osananajimi ga Zettai ni Makenai Love Comedy,Manga,Sem informações,Nov 2019 -,https://myanimelist.net/manga/123198/Osananajimi_ga_Zettai_ni_Makenai_Love_Comedy,https://cdn.myanimelist.net/r/100x140/images/manga/2/231060.jpgSem informaçõess=861ae9cde2b543756d5fcf97b96618f9
331,Shino-chan wa Jibun no Namae ga Ienai,Manga,1,Dec 2011 - Oct 2012,https://myanimelist.net/manga/49017/Shino-chan_wa_Jibun_no_Namae_ga_Ienai,https://cdn.myanimelist.net/r/100x140/images/manga/2/181384.jpgSem informaçõess=757113b58ee5fdfad40b6e2eb39d87b5
332,Chronicles of the Cursed Sword,Manhwa,37,1999 - 2009,https://myanimelist.net/manga/167/Chronicles_of_the_Cursed_Sword,https://cdn.myanimelist.net/r/100x140/images/manga/2/243134.jpgSem informaçõess=68833b855ff85b18672fd200c1595d12
333,Hajimari no Natsu,Manga,1,Sep 2010 - Aug 2011,https://myanimelist.net/manga/42383/Hajimari_no_Natsu,https://cdn.myanimelist.net/r/100x140/images/manga/2/74051.jpgSem informaçõess=47ef9b47addafae78575ba634bd03c6e
334,Demi-chan wa Kataritai,Manga,11,Sep 2014 - Dec 2022,https://myanimelist.net/manga/82745/Demi-chan_wa_Kataritai,https://cdn.myanimelist.net/r/100x140/images/manga/2/188778.jpgSem informaçõess=30147a72089bb9efa18bcc7c3081fe6d
335,Soko wa Nemuri no Mori,Manga,1,1994 - Mar 1998,https://myanimelist.net/manga/6058/Soko_wa_Nemuri_no_Mori,https://cdn.myanimelist.net/r/100x140/images/manga/2/262319.jpgSem informaçõess=0457658747187cc35fa7595774044478
336,Super Express Hiyokko,One-shot,Sem informações,-,https://myanimelist.net/manga/23968/Super_Express_Hiyokko,https://cdn.myanimelist.net/r/100x140/images/manga/1/38717.jpgSem informaçõess=f65793078700c103f4fe9588c6ab40be
337,Phantom Wizard,Manga,3,Jul 2000 - Sep 2001,https://myanimelist.net/manga/5208/Phantom_Wizard,https://cdn.myanimelist.net/r/100x140/images/manga/1/55987.jpgSem informaçõess=85177a1583d6c7fd2a12ea1b09129ca9
