ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
7725,Crab Kiss,Manhwa,10,-,https://myanimelist.net/manga/13049/Crab_Kiss,https://cdn.myanimelist.net/r/100x140/images/manga/1/18749.jpgSem informaçõess=ae47c57f9feb0786d8a1c31652dca573
7726,Ochite Oborete,Manga,3,Jan 2021 - Feb 2022,https://myanimelist.net/manga/137885/Ochite_Oborete,https://cdn.myanimelist.net/r/100x140/images/manga/3/246875.jpgSem informaçõess=3bf64f46c8c316fc5872da9de7e770fa
7727,Legend,Light-Novel,Sem informações,Sep 2014 -,https://myanimelist.net/manga/86808/Legend,https://cdn.myanimelist.net/r/100x140/images/manga/3/150756.jpgSem informaçõess=cfb062e5d36acda6d28baacdd1623fb2
7728,Kyonyuu Dragon,Manga,1,Jul 2004 - Oct 2004,https://myanimelist.net/manga/24949/Kyonyuu_Dragon,https://cdn.myanimelist.net/r/100x140/images/manga/1/207574.jpgSem informaçõess=59a5abbd1ff4186ca0da25fe11ee170c
7729,Doubutsu no Kuni,Manga,14,Sep 2009 - Feb 2014,https://myanimelist.net/manga/16668/Doubutsu_no_Kuni,https://cdn.myanimelist.net/r/100x140/images/manga/2/249540.jpgSem informaçõess=f8cf70d0f3e8467366c2a07bb9c9eb39
7730,Appli Trap,Manga,2,Mar 2015 - Feb 2016,https://myanimelist.net/manga/90727/Appli_Trap,https://cdn.myanimelist.net/r/100x140/images/manga/3/164791.jpgSem informaçõess=36accd1855578663f69a624db47b3909
7731,Date A Live,Light-Novel,22,Mar 2011 - Mar 2020,https://myanimelist.net/manga/37523/Date_A_Live,https://cdn.myanimelist.net/r/100x140/images/manga/3/165177.jpgSem informaçõess=c1dbf07b30bf76f2efb2c9ce3fb3631d
7732,Gang King,Manga,37,Aug 2003 - Apr 2021,https://myanimelist.net/manga/18340/Gang_King,https://cdn.myanimelist.net/r/100x140/images/manga/3/167766.jpgSem informaçõess=f8e95faebf89b4752d7d2873abb8e3b4
7733,Chocolat no Mahou,Manga,Sem informações,Sep 2008 -,https://myanimelist.net/manga/32229/Chocolat_no_Mahou,https://cdn.myanimelist.net/r/100x140/images/manga/3/59117.jpgSem informaçõess=38e133f7775606e6a757ec6a04475f57
7734,Area no Kishi,Manga,57,Apr 2006 - Mar 2017,https://myanimelist.net/manga/8795/Area_no_Kishi,https://cdn.myanimelist.net/r/100x140/images/manga/2/193643.jpgSem informaçõess=3e9705e90f501ebeafd6569e7113b1ff
7735,"Onna dakara, to Party wo Tsuihou sareta node Densetsu no Majo to Saikyou Tag wo Kumimashita",Light-Novel,2,Feb 2019 - Aug 2019,https://myanimelist.net/manga/120621/Onna_dakara_to_Party_wo_Tsuihou_sareta_node_Densetsu_no_Majo_to_Saikyou_Tag_wo_Kumimashita,https://cdn.myanimelist.net/r/100x140/images/manga/1/225858.jpgSem informaçõess=7349fd56b9d2b12a6b28396747c65cc5
7736,Bleach: Beginning of the Revive of Tomorrow,Light-Novel,Sem informações,Aug 2015 - Aug 2015,https://myanimelist.net/manga/124937/Bleach__Beginning_of_the_Revive_of_Tomorrow,https://cdn.myanimelist.net/r/100x140/images/manga/1/229356.jpgSem informaçõess=31959dc76679fba330522fd19a375ec5
7737,Isekai Kenkokuki,Light-Novel,Sem informações,Aug 2017 -,https://myanimelist.net/manga/109259/Isekai_Kenkokuki,https://cdn.myanimelist.net/r/100x140/images/manga/2/200878.jpgSem informaçõess=92af7a8fc917918d23e33d6970cef0ad
7738,Imori 201,Manga,5,Nov 2010 - Jan 2014,https://myanimelist.net/manga/24618/Imori_201,https://cdn.myanimelist.net/r/100x140/images/manga/3/281191.jpgSem informaçõess=3f850c2731c98031c19c677912fc29cc
7739,Pen to Chocolate,Manga,2,Aug 2008 - May 2010,https://myanimelist.net/manga/20098/Pen_to_Chocolate,https://cdn.myanimelist.net/r/100x140/images/manga/2/171400.jpgSem informaçõess=893eb5ac0eab0dbc9471fbf7d39ff226
7740,Ootagawa Junjou Lovers,Manga,1,Dec 2011 - Jul 2012,https://myanimelist.net/manga/57363/Ootagawa_Junjou_Lovers,https://cdn.myanimelist.net/r/100x140/images/manga/3/184542.jpgSem informaçõess=0a32047a0cda9d328dc26d36a3b930f3
